UserId	Item	ItemType	Variety	ForeQty	ForeMonth	UnderKPK	UOM
mathura5Farmer	Crops	Bajra	Hybrid	10	October	KPK1387	qntls
mathura5Farmer	Crops	Mustard	Hybrid	50	March	KPK1387	qntls
dhuli3Farmer	Crops	Bajra	Hybrid	10	October	KPK1387	qntls
khiladi1Farmer	Crops	Mustard	Hybrid	25	March	KPK1387	qntls
kajod6Farmer	Crops	Bajra	Hybrid	15	October	KPK1387	qntls
ramji2Farmer	Crops	Mustard	Hybrid	60	March	KPK1387	qntls
sundraFarmer	Crops	Bajra	Hybrid	20	October	KPK1387	qntls
rnivasFarmer	Crops	WHEAT	RJ1482	20	April	KPK1387	qntls
sitaram9Farmer	Crops	Wheat	RJ1482	30	April	KPK1387	qntls
shriphool1Farmer	Crops	Mustard	Hybrid	60	March	KPK1387	qntls
prabhu12Farmer	Crops	Bajra	Hybrid	10	October	KPK1387	qntls
sita6Farmer	Crops	Bajra	Hybrid	10	October	KPK1387	qntls
sita6Farmer	Crops	Mustard	Hybrid	80	March	KPK1387	qntls
chothmal6Farmer	Crops	Mustard	Hybrid	40	March	KPK1387	qntls
phoolchandFarmer	Crops	Mustard	Hybrid	30	March	KPK1387	qntls
braj1Farmer	Crops	Mustard	Hybrid	35	March	KPK1387	qntls
batti2Farmer	Crops	Wheat	RJ1482	10	April	KPK1387	qntls
phelu2Farmer	Crops	Wheat	RJ1482	10	April	KPK1387	qntls
mukesh2Farmer	Crops	Bajra	Hybrid	10	October	KPK1387	qntls
hoo1164	Crops	Gram	Desi	4	April	kpk1164	qntls
Husan1383	Crops	Mustard	jankar	30	March	kpk1383	qntls
vilas11	Crops	Moong	Kopargaon	4	October	kpk1626	qntls
nannubethekar	Crops	Soyabean	js-335	25	November	kpk1494	qntls
labubhusum	Crops	Sorghum	csh-9	10	September	kpk1494	qntls
channu12	Crops	Urd	Tau1	4	September	kpk1494	qntls
Khanu5	Crops	Urd	TAU-1	15	September	kpk1494	qntls
shojilal1383	Crops	soyabean	Null	45	April	kpk1383	qntls
ronge99	Crops	Tori	maroti	3	October	kpk1265	qntls
Onkar77	Crops	Soyabean	js-335	35	December	kpk1264	qntls
ramdev1459	Crops	Soyabean	GS-335	8	November	kpk1459	qntls
devi1459	Crops	Soyabean	GS-335	10	November	kpk1459	qntls
SHAUBHAG1383	Crops	Soyabean	MALKA	25	March	KPK1383	qntls
ball1193	Crops	Wheat	WH147	70	April	kpk1193	qntls
RAMDEV1383	Crops	Soyabean	MALKA	35	March	KPK1383	qntls
PRAHLAD1383	Crops	Soyabean	MALKA	12	March	KPK1383	qntls
siyaramkausal	Crops	Mustard	Local	56	May	kpk1242	qntls
rampalkausal	Crops	Mustard	Local	56	May	kpk1242	qntls
rampalkausal	Crops	Wheat	Null	48	April	kpk1242	qntls
vishalkausal1	Crops	Mustard	Local	12	May	kpk1242	qntls
rameshkausal	Crops	Mustard	Local	12	May	kpk1242	qntls
vrindawankausal	Crops	Bajra	Hybrid	4	September	kpk1242	qntls
praladkausal	Crops	Wheat	Null	29	April	kpk1242	qntls
SarojKPK1416	Crops	Soyabean	GS-335	40	October	kpk1416	qntls
subhashsh1152	Crops	Wheat	UP-2329	40	April	kpk1152	qntls
subhashsh1152	Crops	Mustard	Rohani	20	February	kpk1152	qntls
Ramswaroop1464	Crops	soyabean	Null	0.35	November	kpk1464	Qntls
bharoo1464	Crops	soyabean	GS-335	0.2	November	kpk1464	Qntls
ramesvar1152	Crops	Bajra	Pioneer	20	October	kpk1152	qntls
RamvilashDhakad1405	Crops	Mustard	Null	15	March	KPK1405	qntls
saunarayan1464	Crops	soyabean	GS-335	0.48	November	kpk1464	Qntls
laksh1152	Crops	Mustard	Rohani	45	February	kpk1152	qntls
chturbhujsharma1152	Crops	Wheat	2329	40	April	kpk1152	qntls
rajjos1152	Crops	Wheat	UP-2329	120	April	kpk1152	qntls
Naresh1405	Crops	Soyabean	GS-335	4	October	KPK1405	qntls
SurjanKPK1416	Crops	Mustard	PUSA	70	March	kpk1416	qntls
ramkuvar1459	Crops	Wheat	Lokman	18	April	kpk1459	qntls
durga1471	Crops	Maize	Shankar	20	September	KPK1471	qntls
Kanhaiya1405	Crops	Wheat	Null	10	March	KPK1405	qntls
prempals1051	Vegetables	Potato	3797	50	April	kpk1051	qntls
mahavirl1459	Crops	Soyabean	GS-335	20	November	kpk1459	qntls
bajranga1420	Crops	Mustard	Usha	5	April	KPK1420	qntls
PHORU1465	Crops	Mustard	LAVA	12	April	KPK1465	qntls
MadanDhakad1405	Crops	Mustard	Null	60	March	KPK1405	qntls
MadanDhakad1405	Crops	Soyabean	Null	3	October	KPK1405	qntls
manglal1459	Crops	Soyabean	GS-335	24	November	kpk1459	qntls
Darmendra1405	Crops	wheat	Null	10	March	KPK1405	qntls
RamKuvar1405	Crops	Mustard	Null	30	March	KPK1405	qntls
RamKuvar1405	Crops	SoyaBean	Null	2	October	KPK1405	qntls
sl1464	Crops	Mustard	Null	10	March	kpk1464	qntls
kl1464	Crops	Mustard	Null	16	March	kpk1464	qntls
ghana1459	Crops	Wheat	Lokman	18	April	kpk1459	qntls
Giriraj1405	Crops	Soyabean	Null	10	October	KPK1405	qntls
kalm1470	Crops	Soyabean	GS/PD	10	September	kpk1470	qntls
ladu1459	Crops	Soyabean	GS-335	20	November	kpk1459	qntls
HemMinaKPK1416	Crops	Soyabean	G.SS33	0.35	October	kpk1416	Qntls
MANG1465	Crops	Mustard	LAVA	65	April	KPK1465	qntls
RamNagaar1405	Crops	Wheat	Null	5	March	KPK1405	qntls
ramdhan1459	Crops	Mustard	usha Brand	6	March	kpk1459	qntls
BadriLalDhakad1405	Crops	Wheat	Null	10	March	KPK1405	qntls
BAJ1465	Crops	Mustard	LAVA	34	April	KPK1465	qntls
Chheditar1459	Crops	Soyabean	GS-335	0	November	kpk1459	qntls
dglm1470	Crops	Maize	Hybrid	10	September	kpk1470	qntls
MadanLal1405	Crops	Mustard	Null	100	March	KPK1405	qntls
salm1470	Crops	Soyabean	GS/PK	3	September	kpk1470	qntls
MangiLalNaagar1405	Crops	Mustard	Null	100	March	KPK1405	qntls
kisan1459	Crops	Wheat	Lokman	12	April	kpk1459	qntls
hitar1459	Crops	Mustard	usha Brand	21	March	kpk1459	qntls
hrdm1470	Crops	Wheat	Lokman/PD	9	February	kpk1470	qntls
HarChandKPK1416	Crops	Mustard	PUSA	50	March	kpk1416	qntls
Ladya1383	Crops	Mustard	Jhankar	200	March	kpk1383	qntls
satyamali1459	Crops	wheat	Lokman	24	May	kpk1459	qntls
ladulal1459	Crops	Soyabean	GS-355	30	November	kpk1459	qntls
mhdm1470	Crops	Maize	Hybrid	6	September	kpk1470	qntls
KanhyaKPK1416	Crops	Soyabean	G.S.S.33	60	October	kpk1416	qntls
shravan1459	Crops	wheat	Lokman	18	May	kpk1459	qntls
nathumali1459	Crops	Soyabean	GS-355	10	November	kpk1459	qntls
CLalGujjar1471	Crops	Soyabean	G.S.	7	September	KPK1471	qntls
RamGujjar1471	Crops	Soyabean	G.S.	2	September	KPK1471	qntls
GDSaini1471	Crops	Maize	Shankar	7	September	KPK1471	qntls
CLSaini1471	Crops	Maize	Shankar	4	September	KPK1471	qntls
DE1465	Crops	Mustard	PIONEER	85	April	KPK1465	qntls
RAMP1465	Crops	Mustard	LAVA	38	April	KPK1465	qntls
MAH1465	Crops	Mustard	LAVA	350	March	KPK1465	qntls
MAH1465	Crops	Wheat	RJ1482	300	April	KPK1465	qntls
bharat7Farmer	Crops	Bajra	Hybrid	10	October	KPK1387	qntls
shrinivas3Farmer	Crops	Mustard	Hybrid	50	March	KPK1387	qntls
shyamphoolFarmer	Crops	Mustard	Hybrid	125	March	KPK1387	qntls
kalu2Farmer	Crops	Mustard	Hybrid	50	March	KPK1387	qntls
harphool1Farmer	Crops	Wheat	RJ1482	5	October	KPK1387	qntls
mathura9Farmer	Crops	Wheat	RJ1482	2	October	KPK1387	qntls
hajari8Farmer	Crops	Wheat	RJ1482	10	October	KPK1387	qntls
kedar4Farmer	Crops	Mustard	Hybrid	90	March	KPK1387	qntls
raju1Farmer	Crops	Mustard	Hybrid	20	March	KPK1387	qntls
Heemraj1383	Crops	Mustard	Jhankar	40	March	kpk1383	qntls
mandyaFarmer	Crops	Mustard	Hybrid	100	March	KPK1387	qntls
motiram999	Crops	Sorghum	csh-9	30	October	kpk1264	qntls
kadma456	Crops	Sorghum	csh-5	20	September	kpk1264	qntls
sitaram88	Crops	Sorghum	csh-9	15	October	kpk1264	qntls
bisram77	Crops	Sorghum	csh-5	45	September	kpk1264	qntls
kalya222	Crops	Tori	Ganesh	10	October	kpk1267	qntls
munna789	Crops	Sorghum	Csh-9	40	October	kpk1267	qntls
Rammag1405	Crops	Soyabean	GS-335	80	October	KPK1405	qntls
balu1459	Crops	Mustard	Usha Brand	0.18	March	kpk1459	Qntls
kamal1464	Crops	soyabean	Null	25	October	kpk1464	qntls
Anand1405	Crops	Soyabean	GS-335	5	October	KPK1405	qntls
devi1459	Crops	Wheat	Lokman	0.15	April	kpk1459	Qntls
RamDevKPK1416	Crops	Soyabean	GS-335	100	October	kpk1416	qntls
manna1420	Crops	Soyabean	GS-335	60	November	KPK1420	qntls
SHOGI1383	Crops	Soyabean	MALKA	15	March	KPK1383	qntls
MAHAVEER1383	Crops	Soyabean	MALKA	10	March	KPK1383	qntls
BHARU1383	Crops	Soyabean	MALKA	22	March	KPK1383	qntls
manojkausal	Crops	Wheat	Null	10	April	kpk1242	qntls
ramkausal12	Crops	Wheat	Null	55	April	kpk1242	qntls
praladkausal	Crops	Bajra	Hybrid	24	September	kpk1242	qntls
kcl;kh;f	Crops	wheat	malka	12	February	KPK1412	qntls
devmali1459	Crops	Wheat	Blaok	10	Select	kpk1459	qntls
SDhakad1465	Crops	Mustard	Null	40	March	kpk1465	qntls
mukesk1464	Crops	Mustard	Null	10	March	kpk1464	qntls
nanda1459	Crops	Mustard	Usha	6	April	kpk1459	qntls
sureshch1152	Crops	Bajra	Pioneer	50	October	kpk1152	qntls
sureshch1152	Crops	Paddy	Chhapka	100	November	kpk1152	qntls
bharoo1464	Crops	Mustard	Null	20	March	kpk1464	qntls
mohanlal1464	Crops	Mustard	Null	16	March	kpk1464	qntls
krishnamurari1152	Crops	Wheat	2329	6000	April	kpk1152	qntls
durlal1420	Crops	Soyabean	GS-335	22	October	KPK1420	qntls
bisramu1131	Crops	Gram	Ujjain 21	10	April	kpk1131	qntls
durga1459	Crops	Soyabean	GS-335	0	April	kpk1459	qntls
CMDhakad1465	Crops	Mustard	Null	30	March	kpk1465	qntls
HLDhakad1465	Crops	Mustard	Null	18	March	kpk1465	qntls
MangiLal1405	Crops	Gram	Null	40	March	KPK1405	qntls
MangiLal1405	Crops	Soyabean	GS-335	12	October	KPK1405	qntls
ramkuvar1459	Crops	Mustard	Usha	12	April	kpk1459	qntls
durga1471	Crops	Wheat	Lokman	70	February	KPK1471	qntls
bhavar1459	Crops	Soyabean	GS-335	15	November	kpk1459	qntls
har1464	Crops	soyabean	Null	80	November	kpk1464	qntls
durga1471	Crops	Soyabean	GS-355	30	September	KPK1471	qntls
prempals1051	Crops	Wheat	PBW-343	40	April	kpk1051	qntls
hario1051	Vegetables	Potato	3797	50	April	kpk1051	qntls
KISHAN1465	Crops	Mustard	LAVA	18	April	KPK1465	qntls
MadanDhakad1405	Crops	Wheat	Null	30	March	KPK1405	qntls
RajuPinjara1405	Crops	Gram	Null	20	March	KPK1405	qntls
RamFalKPK1416	Crops	Wheat	Lokman	100	March	kpk1416	qntls
kmlm1470	Crops	Maize	Hybrid	10	September	kpk1470	qntls
GovindRam1405	Crops	Soyabean	Null	10	October	KPK1405	qntls
lcd1062	Crops	Wheat	Lokman	40	April	kpk1062	qntls
kisan1459	Crops	Mustard	usha Brand	3	March	kpk1459	qntls
Kajod1383	Crops	Mustard	Jhankar	50	March	kpk1383	qntls
AnniRamKPK1416	Crops	Mustard	Null	50	March	kpk1416	qntls
jagmali1459	Crops	Soyabean	GS-355	20	November	kpk1459	qntls
KanhyaKPK1416	Crops	Mustard	KRISHNA JHANKAR	50	March	kpk1416	qntls
gajpata1459	Crops	Soyabean	GS-355	5	November	kpk1459	qntls
CLSaini1471	Crops	Wheat	Lokman	14	February	KPK1471	qntls
BA1465	Crops	Mustard	PIONEER	48	April	KPK1465	qntls
CHATRU1465	Crops	Mustard	LAVA	38	April	KPK1465	qntls
BRAJ1465	Crops	Mustard	LAVA	25	April	KPK1465	qntls
DAYAL1465	Crops	Mustard	LAVA	30	March	KPK1465	qntls
pyareFarmer	Crops	Bajra	Hybrid	5	October	KPK1387	qntls
dhuli3Farmer	Crops	Mustard	Hybrid	30	March	KPK1387	qntls
chranji5Farmer	Crops	Mustard	Hybrid	50	March	KPK1387	qntls
jagdesh9Farmer	Crops	Bajra	Hybrid	20	October	KPK1387	qntls
ramrupFarmer	Crops	Mustard	Hybrid	30	March	KPK1387	qntls
ramprasad5Farmer	Crops	Mustard	Hybrid	70	March	KPK1387	qntls
ramhet1Farmer	Crops	Bajra	Hybrid	2	October	KPK1387	qntls
ramprasad7Farmer	Crops	Bajra	Hybrid	15	October	KPK1387	qntls
ramprasad7Farmer	Crops	Wheat	RJ1482	10	April	KPK1387	qntls
latturFarmer	Crops	Mustard	Hybrid	180	March	KPK1387	qntls
kailash10Farmer	Crops	Wheat	RJ1482	20	April	KPK1387	qntls
ganpat1Farmer	Crops	Wheat	RJ1482	10	April	KPK1387	qntls
mukesh2Farmer	Crops	Mustard	Hybrid	30	March	KPK1387	qntls
phoolkaran1Farmer	Crops	Wheat	Lokman	5	April	KPK1320	qntls
Bahru1383	Crops	Mustard	jankar	80	March	kpk1383	qntls
gha1146	Crops	Wheat	Lokman	20	April	kpk1164	qntls
ramlal5Farmer	Crops	Til	Null	1	October	KPK1320	qntls
laluramFarmer	Crops	wheat	Lokman	10	April	KPK1320	qntls
kemlesh6Farmer	Crops	Mustard	Rajseeds	50	March	KPK1320	qntls
bhajan5Farmer	Crops	Wheat	"3077 ,1482"	10	April	KPK1320	qntls
Goma	Crops	Tori	Maroti	1	October	kpk1494	Qntls
channu12	Crops	Moong	Copargaon	7	September	kpk1494	qntls
Ganaji99	Crops	Cotton	Ajinkya	0.04	July	kpk1494	Qntls
Hiralal33	Crops	Urd	Tau-1	10	September	kpk1494	qntls
Gangubai2	Crops	Urd	Tau-1	0	NULL	kpk1265	NULL
chitram	Crops	Urd	Tau-1	4	October	kpk1265	qntls
Kali	Crops	Soyabean	js-335	11	October	kpk1265	qntls
bacchusi1099	Crops	Bajra	86M32	80	October	kpk1099	qntls
bacchusi1099	Crops	Mustard	Alankar	40	February	kpk1099	qntls
babu1449	Crops	wheat	lokwan	45	May	kpk1449	qntls
monga1471	Crops	Soyabean	GS	10	September	KPK1471	qntls
PCMeena1470	Crops	Soyabean	JS 335/P.K.72	6	September	KPK1470	qntls
mulcs1131	Crops	Wheat	Lokman	100	April	kpk1131	qntls
Prabhu1470	Crops	Wheat	3077	50	February	KPK1470	qntls
rameswar1379	Crops	wheat	3765	10	April	kpk1379	qntls
roopnath1379	Crops	Maize	anagli-76	10	November	kpk1379	qntls
PMeena1470	Crops	Maize	Ganga hybrid	8	October	KPK1470	qntls
KalYawKPK1379	Crops	Mustard	Null	40	Select	KPK1379	qntls
GovindLal1405	Crops	Soyabean	GS-335	40	October	KPK1405	qntls
ram81420	Crops	Soyabean	GS-335	30	November	KPK1420	qntls
lalu1420	Crops	Soyabean	GS-335	15	November	KPK1420	qntls
PAPP 1383	Crops	Soyabean	MALKA	12	March	KPK1383	qntls
JAGADESH 1383	Crops	Soyabean	MALKA	12	March	KPK1383	qntls
parimalkausal	Crops	Wheat	Null	10	April	kpk1242	qntls
manojkausal	Crops	Mustard	Local	12	May	kpk1242	qntls
keertikausal	Crops	Wheat	Null	24	April	kpk1242	qntls
lalkausal12	Crops	Bajra	Hybrid	12	September	kpk1242	qntls
SarojKPK1416	Crops	Mustard	PUSA	80	March	kpk1416	qntls
motiram1152	Crops	Bajra	Pionear	20	October	kpk1152	qntls
MahavirDhakad1405	Crops	Soyabean	Null	6	October	KPK1405	qntls
kshetrapal1152	Crops	Wheat	2329	140	April	kpk1152	qntls
kshetrapal1152	Crops	Bajra	Pioneer	15	October	kpk1152	qntls
BhwarLalKPK1416	Crops	Mustard	PUSA	90	March	kpk1416	qntls
gopalsharma1152	Crops	Wheat	2329	200	April	kpk1152	qntls
laksh1152	Crops	Bajra	Pionear	50	October	kpk1152	qntls
prabhu1464	Crops	Mustard	Null	28	March	kpk1464	qntls
