Price_Id	Product_Id	Location_Id	Month_Id	Case_Price	Bottel_Price	Expensive_Per_Case	GProfit
P229	103	L107	M105	0.0348	144.9636	240.86	1347.8564
P230	104	L107	M105	0.0179	74.5148	278.55	710.9952
P231	105	L107	M105	0.0173	72.0431	269.31	692.1144
P232	106	L107	M105	0.0144	60.027	310.73	569.248
P233	107	L107	M105	0.0187	77.896	187.2	772.304
P234	108	L107	M105	0.0187	77.896	187.2	772.304
P235	109	L107	M105	0.0000	0.0000	0.0000	0.0000
P236	101	L108	M105	0.0268	111.84	287.58	915.5
P237	102	L108	M105	0.0210	87.34	224.58	740.5
P238	103	L108	M105	0.0325	135.48	240.86	1120.25
P239	104	L108	M105	0.0167	69.64	278.55	594
P240	105	L108	M105	0.0162	67.33	269.31	579
P241	106	L108	M105	0.0135	56.1	310.73	475
P242	107	L108	M105	0.0175	72.8	187.2	650
P243	108	L108	M105	0.0175	72.8	187.2	650
P244	109	L108	M105	0.0000	0.0000	0.0000	0.0000
P245	101	L101	M106	0.0268	111.84	287.58	915.5
P246	102	L101	M106	0.0210	87.34	224.58	740.5
P247	103	L101	M106	0.0325	135.48	240.86	1120.25
P248	104	L101	M106	0.0167	69.64	278.55	594
P249	105	L101	M106	0.0162	67.33	269.31	579
P250	106	L101	M106	0.0135	56.1	310.73	475
P251	107	L101	M106	0.0175	72.8	187.2	650
P252	108	L101	M106	0.0175	72.8	187.2	650
P253	109	L101	M106	0.0000	0.0000	0.0000	0.0000
P254	101	L102	M106	0.0250	104.34	107.58	915.5
P255	102	L102	M106	0.0307	79.84	44.58	740.5
P256	103	L102	M106	0.0149	127.98	60.86	1120.25
P257	104	L102	M106	0.0149	62.14	98.55	594
P258	105	L102	M106	0.0144	59.83	89.31	579
P259	106	L102	M106	0.0111	46.1	70.73	475
P260	107	L102	M106	0.0163	67.8	67.2	650
P261	108	L102	M106	0.0163	67.8	67.2	650
P262	109	L102	M106	0.0000	0.0000	0.0000	0.0000
P263	101	L103	M106	0.0250	104.34	107.58	915.5
P264	102	L103	M106	0.0192	79.84	44.58	740.5
P265	103	L103	M106	0.0307	127.98	60.86	1120.25
P266	104	L103	M106	0.0149	62.14	98.55	594
P267	105	L103	M106	0.0144	59.83	89.31	579
P268	106	L103	M106	0.0111	46.1	70.73	475
P269	107	L103	M106	0.0163	67.8	67.2	650
P270	108	L103	M106	0.0163	67.8	67.2	650
P271	109	L103	M106	0.0000	0.0000	0.0000	0.0000
P272	101	L104	M106	0.0287	119.6688	287.58	1103.3912
P273	102	L104	M106	0.0224	93.4538	224.58	887.2312
P274	103	L104	M106	0.0348	144.9636	240.86	1347.8564
P275	104	L104	M106	0.0179	74.5148	278.55	710.9952
P276	105	L104	M106	0.0173	72.0431	269.31	692.1144
P277	106	L104	M106	0.0144	60.027	310.73	569.248
P278	107	L104	M106	0.0187	77.896	187.2	772.304
P279	108	L104	M106	0.0187	77.896	187.2	772.304
P280	109	L104	M106	0.0000	0.0000	0.0000	0.0000
P281	101	L105	M106	0.0287	119.6688	287.58	1103.3912
P282	102	L105	M106	0.0224	93.4538	224.58	887.2312
P283	103	L105	M106	0.0348	144.9636	240.86	1347.8564
P284	104	L105	M106	0.0179	74.5148	278.55	710.9952
P285	105	L105	M106	0.0173	72.0431	269.31	692.1144
P286	106	L105	M106	0.0144	60.027	310.73	569.248
P287	107	L105	M106	0.0187	77.896	187.2	772.304
P288	108	L105	M106	0.0187	77.896	187.2	772.304
P289	109	L105	M106	0.0000	0.0000	0.0000	0.0000
P290	101	L106	M106	0.0287	119.6688	287.58	1103.3912
P291	102	L106	M106	0.0224	93.4538	224.58	887.2312
P292	103	L106	M106	0.0348	144.9636	240.86	1347.8564
P293	104	L106	M106	0.0179	74.5148	278.55	710.9952
P294	105	L106	M106	0.0173	72.0431	269.31	692.1144
P295	106	L106	M106	0.0144	60.027	310.73	569.248
P296	107	L106	M106	0.0187	77.896	187.2	772.304
P297	108	L106	M106	0.0187	77.896	187.2	772.304
P298	109	L106	M106	0.0000	0.0000	0.0000	0.0000
P299	101	L107	M106	0.0287	119.6688	287.58	1103.3912
P300	102	L107	M106	0.0224	93.4538	224.58	887.2312
P301	103	L107	M106	0.0348	144.9636	240.86	1347.8564
P302	104	L107	M106	0.0179	74.5148	278.55	710.9952
P303	105	L107	M106	0.0173	72.0431	269.31	692.1144
P304	106	L107	M106	0.0144	60.027	310.73	569.248
P305	107	L107	M106	0.0187	77.896	187.2	772.304
P306	108	L107	M106	0.0187	77.896	187.2	772.304
P307	109	L107	M106	0.0000	0.0000	0.0000	0.0000
P308	101	L108	M106	0.0268	111.84	287.58	915.5
P309	102	L108	M106	0.0210	87.34	224.58	740.5
P310	103	L108	M106	0.0325	135.48	240.86	1120.25
P311	104	L108	M106	0.0167	69.64	278.55	594
P312	105	L108	M106	0.0162	67.33	269.31	579
P313	106	L108	M106	0.0135	56.1	310.73	475
P314	107	L108	M106	0.0175	72.8	187.2	650
P315	108	L108	M106	0.0175	72.8	187.2	650
P316	109	L108	M106	0.0000	0.0000	0.0000	0.0000
P317	101	L101	M107	0.0268	111.84	287.58	915.5
P318	102	L101	M107	0.0210	87.34	224.58	740.5
P319	103	L101	M107	0.0325	135.48	240.86	1120.25
P320	104	L101	M107	0.0167	69.64	278.55	594
P321	105	L101	M107	0.0162	67.33	269.31	579
P322	106	L101	M107	0.0135	56.1	310.73	475
P323	107	L101	M107	0.0175	72.8	187.2	650
P324	108	L101	M107	0.0175	72.8	187.2	650
P325	109	L101	M107	0.0000	0.0000	0.0000	0.0000
P326	101	L102	M107	0.0250	104.34	107.58	915.5
P327	102	L102	M107	0.0307	79.84	44.58	740.5
P328	103	L102	M107	0.0149	127.98	60.86	1120.25
P329	104	L102	M107	0.0149	62.14	98.55	594
P330	105	L102	M107	0.0144	59.83	89.31	579
P331	106	L102	M107	0.0111	46.1	70.73	475
P332	107	L102	M107	0.0163	67.8	67.2	650
P333	108	L102	M107	0.0163	67.8	67.2	650
P334	109	L102	M107	0.0000	0.0000	0.0000	0.0000
P335	101	L103	M107	0.0250	104.34	107.58	915.5
P336	102	L103	M107	0.0192	79.84	44.58	740.5
P337	103	L103	M107	0.0307	127.98	60.86	1120.25
P338	104	L103	M107	0.0149	62.14	98.55	594
P339	105	L103	M107	0.0144	59.83	89.31	579
P340	106	L103	M107	0.0111	46.1	70.73	475
P341	107	L103	M107	0.0163	67.8	67.2	650
P342	108	L103	M107	0.0163	67.8	67.2	650
P343	109	L103	M107	0.0000	0.0000	0.0000	0.0000
P344	101	L104	M107	0.0287	119.6688	287.58	1103.3912
P345	102	L104	M107	0.0224	93.4538	224.58	887.2312
P346	103	L104	M107	0.0348	144.9636	240.86	1347.8564
P347	104	L104	M107	0.0179	74.5148	278.55	710.9952
P348	105	L104	M107	0.0173	72.0431	269.31	692.1144
P349	106	L104	M107	0.0144	60.027	310.73	569.248
P350	107	L104	M107	0.0187	77.896	187.2	772.304
P351	108	L104	M107	0.0187	77.896	187.2	772.304
P352	109	L104	M107	0.0000	0.0000	0.0000	0.0000
P353	101	L105	M107	0.0287	119.6688	287.58	1103.3912
P354	102	L105	M107	0.0224	93.4538	224.58	887.2312
P355	103	L105	M107	0.0348	144.9636	240.86	1347.8564
P356	104	L105	M107	0.0179	74.5148	278.55	710.9952
P357	105	L105	M107	0.0173	72.0431	269.31	692.1144
P358	106	L105	M107	0.0144	60.027	310.73	569.248
P359	107	L105	M107	0.0187	77.896	187.2	772.304
P360	108	L105	M107	0.0187	77.896	187.2	772.304
P361	109	L105	M107	0.0000	0.0000	0.0000	0.0000
P362	101	L106	M107	0.0287	119.6688	287.58	1103.3912
P363	102	L106	M107	0.0224	93.4538	224.58	887.2312
P364	103	L106	M107	0.0348	144.9636	240.86	1347.8564
P365	104	L106	M107	0.0179	74.5148	278.55	710.9952
P366	105	L106	M107	0.0173	72.0431	269.31	692.1144
P367	106	L106	M107	0.0144	60.027	310.73	569.248
P368	107	L106	M107	0.0187	77.896	187.2	772.304
P369	108	L106	M107	0.0187	77.896	187.2	772.304
P370	109	L106	M107	0.0000	0.0000	0.0000	0.0000
P371	101	L107	M107	0.0287	119.6688	287.58	1103.3912
P372	102	L107	M107	0.0224	93.4538	224.58	887.2312
P373	103	L107	M107	0.0348	144.9636	240.86	1347.8564
P374	104	L107	M107	0.0179	74.5148	278.55	710.9952
P375	105	L107	M107	0.0173	72.0431	269.31	692.1144
P376	106	L107	M107	0.0144	60.027	310.73	569.248
P377	107	L107	M107	0.0187	77.896	187.2	772.304
P378	108	L107	M107	0.0187	77.896	187.2	772.304
P379	109	L107	M107	0.0000	0.0000	0.0000	0.0000
P380	101	L108	M107	0.0268	111.84	287.58	915.5
P381	102	L108	M107	0.0210	87.34	224.58	740.5
P382	103	L108	M107	0.0325	135.48	240.86	1120.25
P383	104	L108	M107	0.0167	69.64	278.55	594
P384	105	L108	M107	0.0162	67.33	269.31	579
P385	106	L108	M107	0.0135	56.1	310.73	475
P386	107	L108	M107	0.0175	72.8	187.2	650
P387	108	L108	M107	0.0175	72.8	187.2	650
P388	109	L108	M107	0.0000	0.0000	0.0000	0.0000
P389	101	L101	M108	0.0268	111.84	287.58	915.5
P390	102	L101	M108	0.0210	87.34	224.58	740.5
P391	103	L101	M108	0.0325	135.48	240.86	1120.25
P392	104	L101	M108	0.0167	69.64	278.55	594
P393	105	L101	M108	0.0162	67.33	269.31	579
P394	106	L101	M108	0.0135	56.1	310.73	475
P395	107	L101	M108	0.0175	72.8	187.2	650
P396	108	L101	M108	0.0175	72.8	187.2	650
P397	109	L101	M108	0.0000	0.0000	0.0000	0.0000
P398	101	L102	M108	0.0250	104.34	107.58	915.5
P399	102	L102	M108	0.0307	79.84	44.58	740.5
P400	103	L102	M108	0.0149	127.98	60.86	1120.25
P401	104	L102	M108	0.0149	62.14	98.55	594
P402	105	L102	M108	0.0144	59.83	89.31	579
P403	106	L102	M108	0.0111	46.1	70.73	475
P404	107	L102	M108	0.0163	67.8	67.2	650
P405	108	L102	M108	0.0163	67.8	67.2	650
P406	109	L102	M108	0.0000	0.0000	0.0000	0.0000
P407	101	L103	M108	0.0250	104.34	107.58	915.5
P408	102	L103	M108	0.0192	79.84	44.58	740.5
P409	103	L103	M108	0.0307	127.98	60.86	1120.25
P410	104	L103	M108	0.0149	62.14	98.55	594
P411	105	L103	M108	0.0144	59.83	89.31	579
P412	106	L103	M108	0.0111	46.1	70.73	475
P413	107	L103	M108	0.0163	67.8	67.2	650
P414	108	L103	M108	0.0163	67.8	67.2	650
P415	109	L103	M108	0.0000	0.0000	0.0000	0.0000
P416	101	L104	M108	0.0287	119.6688	287.58	1103.3912
P417	102	L104	M108	0.0224	93.4538	224.58	887.2312
P418	103	L104	M108	0.0348	144.9636	240.86	1347.8564
P419	104	L104	M108	0.0179	74.5148	278.55	710.9952
P420	105	L104	M108	0.0173	72.0431	269.31	692.1144
P421	106	L104	M108	0.0144	60.027	310.73	569.248
P422	107	L104	M108	0.0187	77.896	187.2	772.304
P423	108	L104	M108	0.0187	77.896	187.2	772.304
P424	109	L104	M108	0.0000	0.0000	0.0000	0.0000
P425	101	L105	M108	0.0287	119.6688	287.58	1103.3912
P426	102	L105	M108	0.0224	93.4538	224.58	887.2312
P427	103	L105	M108	0.0348	144.9636	240.86	1347.8564
P428	104	L105	M108	0.0179	74.5148	278.55	710.9952
P429	105	L105	M108	0.0173	72.0431	269.31	692.1144
P430	106	L105	M108	0.0144	60.027	310.73	569.248
P431	107	L105	M108	0.0187	77.896	187.2	772.304
P432	108	L105	M108	0.0187	77.896	187.2	772.304
P433	109	L105	M108	0.0000	0.0000	0.0000	0.0000
P434	101	L106	M108	0.0287	119.6688	287.58	1103.3912
P435	102	L106	M108	0.0224	93.4538	224.58	887.2312
P436	103	L106	M108	0.0348	144.9636	240.86	1347.8564
P437	104	L106	M108	0.0179	74.5148	278.55	710.9952
P438	105	L106	M108	0.0173	72.0431	269.31	692.1144
P439	106	L106	M108	0.0144	60.027	310.73	569.248
P440	107	L106	M108	0.0187	77.896	187.2	772.304
P441	108	L106	M108	0.0187	77.896	187.2	772.304
P442	109	L106	M108	0.0000	0.0000	0.0000	0.0000
P443	101	L107	M108	0.0287	119.6688	287.58	1103.3912
P444	102	L107	M108	0.0224	93.4538	224.58	887.2312
P445	103	L107	M108	0.0348	144.9636	240.86	1347.8564
P446	104	L107	M108	0.0179	74.5148	278.55	710.9952
P447	105	L107	M108	0.0173	72.0431	269.31	692.1144
P448	106	L107	M108	0.0144	60.027	310.73	569.248
P449	107	L107	M108	0.0187	77.896	187.2	772.304
P450	108	L107	M108	0.0187	77.896	187.2	772.304
P451	109	L107	M108	0.0000	0.0000	0.0000	0.0000
P452	101	L108	M108	0.0268	111.84	287.58	915.5
P453	102	L108	M108	0.0210	87.34	224.58	740.5
P454	103	L108	M108	0.0325	135.48	240.86	1120.25
P455	104	L108	M108	0.0167	69.64	278.55	594
P456	105	L108	M108	0.0162	67.33	269.31	579
P457	106	L108	M108	0.0135	56.1	310.73	475
P458	107	L108	M108	0.0175	72.8	187.2	650
P459	108	L108	M108	0.0175	72.8	187.2	650
P460	109	L108	M108	0.0000	0.0000	0.0000	0.0000
P461	101	L101	M109	0.0268	111.84	287.58	915.5
P462	102	L101	M109	0.0210	87.34	224.58	740.5
P463	103	L101	M109	0.0325	135.48	240.86	1120.25
P464	104	L101	M109	0.0167	69.64	278.55	594
P465	105	L101	M109	0.0162	67.33	269.31	579
P466	106	L101	M109	0.0135	56.1	310.73	475
P467	107	L101	M109	0.0175	72.8	187.2	650
P468	108	L101	M109	0.0175	72.8	187.2	650
P469	109	L101	M109	0.0000	0.0000	0.0000	0.0000
P470	101	L102	M109	0.0250	104.34	107.58	915.5
P471	102	L102	M109	0.0307	79.84	44.58	740.5
P472	103	L102	M109	0.0149	127.98	60.86	1120.25
P473	104	L102	M109	0.0149	62.14	98.55	594
P474	105	L102	M109	0.0144	59.83	89.31	579
P475	106	L102	M109	0.0111	46.1	70.73	475
P476	107	L102	M109	0.0163	67.8	67.2	650
P477	108	L102	M109	0.0163	67.8	67.2	650
P478	109	L102	M109	0.0000	0.0000	0.0000	0.0000
P479	101	L103	M109	0.0250	104.34	107.58	915.5
P480	102	L103	M109	0.0192	79.84	44.58	740.5
P481	103	L103	M109	0.0307	127.98	60.86	1120.25
P482	104	L103	M109	0.0149	62.14	98.55	594
P483	105	L103	M109	0.0144	59.83	89.31	579
P484	106	L103	M109	0.0111	46.1	70.73	475
P485	107	L103	M109	0.0163	67.8	67.2	650
P486	108	L103	M109	0.0163	67.8	67.2	650
P487	109	L103	M109	0.0000	0.0000	0.0000	0.0000
P488	101	L104	M109	0.0287	119.6688	287.58	1103.3912
P489	102	L104	M109	0.0224	93.4538	224.58	887.2312
P490	103	L104	M109	0.0348	144.9636	240.86	1347.8564
P491	104	L104	M109	0.0179	74.5148	278.55	710.9952
P492	105	L104	M109	0.0173	72.0431	269.31	692.1144
P493	106	L104	M109	0.0144	60.027	310.73	569.248
P494	107	L104	M109	0.0187	77.896	187.2	772.304
P495	108	L104	M109	0.0187	77.896	187.2	772.304
P496	109	L104	M109	0.0000	0.0000	0.0000	0.0000
P497	101	L105	M109	0.0287	119.6688	287.58	1103.3912
P498	102	L105	M109	0.0224	93.4538	224.58	887.2312
P499	103	L105	M109	0.0348	144.9636	240.86	1347.8564
P500	104	L105	M109	0.0179	74.5148	278.55	710.9952
P501	105	L105	M109	0.0173	72.0431	269.31	692.1144
P502	106	L105	M109	0.0144	60.027	310.73	569.248
P503	107	L105	M109	0.0187	77.896	187.2	772.304
P504	108	L105	M109	0.0187	77.896	187.2	772.304
P505	109	L105	M109	0.0000	0.0000	0.0000	0.0000
P506	101	L106	M109	0.0287	119.6688	287.58	1103.3912
P507	102	L106	M109	0.0224	93.4538	224.58	887.2312
P508	103	L106	M109	0.0348	144.9636	240.86	1347.8564
P509	104	L106	M109	0.0179	74.5148	278.55	710.9952
P510	105	L106	M109	0.0173	72.0431	269.31	692.1144
P511	106	L106	M109	0.0144	60.027	310.73	569.248
P512	107	L106	M109	0.0187	77.896	187.2	772.304
P513	108	L106	M109	0.0187	77.896	187.2	772.304
P514	109	L106	M109	0.0000	0.0000	0.0000	0.0000
P515	101	L107	M109	0.0287	119.6688	287.58	1103.3912
P516	102	L107	M109	0.0224	93.4538	224.58	887.2312
P517	103	L107	M109	0.0348	144.9636	240.86	1347.8564
P518	104	L107	M109	0.0179	74.5148	278.55	710.9952
P519	105	L107	M109	0.0173	72.0431	269.31	692.1144
P520	106	L107	M109	0.0144	60.027	310.73	569.248
P521	107	L107	M109	0.0187	77.896	187.2	772.304
P522	108	L107	M109	0.0187	77.896	187.2	772.304
P523	109	L107	M109	0.0000	0.0000	0.0000	0.0000
P524	101	L108	M109	0.0268	111.84	287.58	915.5
P525	102	L108	M109	0.0210	87.34	224.58	740.5
P526	103	L108	M109	0.0325	135.48	240.86	1120.25
P527	104	L108	M109	0.0167	69.64	278.55	594
P528	105	L108	M109	0.0162	67.33	269.31	579
P529	106	L108	M109	0.0135	56.1	310.73	475
P530	107	L108	M109	0.0175	72.8	187.2	650
P531	108	L108	M109	0.0175	72.8	187.2	650
P532	109	L108	M109	0.0000	0.0000	0.0000	0.0000
P533	101	L101	M110	0.0268	111.84	287.58	915.5
P534	102	L101	M110	0.0210	87.34	224.58	740.5
P535	103	L101	M110	0.0325	135.48	240.86	1120.25
P536	104	L101	M110	0.0167	69.64	278.55	594
P537	105	L101	M110	0.0162	67.33	269.31	579
P538	106	L101	M110	0.0135	56.1	310.73	475
P539	107	L101	M110	0.0175	72.8	187.2	650
P540	108	L101	M110	0.0175	72.8	187.2	650
P541	109	L101	M110	0.0000	0.0000	0.0000	0.0000
P542	101	L102	M110	0.0250	104.34	107.58	915.5
P543	102	L102	M110	0.0307	79.84	44.58	740.5
P544	103	L102	M110	0.0149	127.98	60.86	1120.25
P545	104	L102	M110	0.0149	62.14	98.55	594
P546	105	L102	M110	0.0144	59.83	89.31	579
P547	106	L102	M110	0.0111	46.1	70.73	475
P548	107	L102	M110	0.0163	67.8	67.2	650
P549	108	L102	M110	0.0163	67.8	67.2	650
P550	109	L102	M110	0.0000	0.0000	0.0000	0.0000
P551	101	L103	M110	0.0250	104.34	107.58	915.5
P552	102	L103	M110	0.0192	79.84	44.58	740.5
P553	103	L103	M110	0.0307	127.98	60.86	1120.25
P554	104	L103	M110	0.0149	62.14	98.55	594
P555	105	L103	M110	0.0144	59.83	89.31	579
P556	106	L103	M110	0.0111	46.1	70.73	475
P557	107	L103	M110	0.0163	67.8	67.2	650
P558	108	L103	M110	0.0163	67.8	67.2	650
P559	109	L103	M110	0.0000	0.0000	0.0000	0.0000
P560	101	L104	M110	0.0287	119.6688	287.58	1103.3912
P561	102	L104	M110	0.0224	93.4538	224.58	887.2312
P562	103	L104	M110	0.0348	144.9636	240.86	1347.8564
P563	104	L104	M110	0.0179	74.5148	278.55	710.9952
P564	105	L104	M110	0.0173	72.0431	269.31	692.1144
P565	106	L104	M110	0.0144	60.027	310.73	569.248
P566	107	L104	M110	0.0187	77.896	187.2	772.304
P567	108	L104	M110	0.0187	77.896	187.2	772.304
P568	109	L104	M110	0.0000	0.0000	0.0000	0.0000
P569	101	L105	M110	0.0287	119.6688	287.58	1103.3912
P570	102	L105	M110	0.0224	93.4538	224.58	887.2312
P571	103	L105	M110	0.0348	144.9636	240.86	1347.8564
P572	104	L105	M110	0.0179	74.5148	278.55	710.9952
P573	105	L105	M110	0.0173	72.0431	269.31	692.1144
P574	106	L105	M110	0.0144	60.027	310.73	569.248
P575	107	L105	M110	0.0187	77.896	187.2	772.304
P576	108	L105	M110	0.0187	77.896	187.2	772.304
P577	109	L105	M110	0.0000	0.0000	0.0000	0.0000
P578	101	L106	M110	0.0287	119.6688	287.58	1103.3912
P579	102	L106	M110	0.0224	93.4538	224.58	887.2312
P580	103	L106	M110	0.0348	144.9636	240.86	1347.8564
P581	104	L106	M110	0.0179	74.5148	278.55	710.9952
P582	105	L106	M110	0.0173	72.0431	269.31	692.1144
P583	106	L106	M110	0.0144	60.027	310.73	569.248
P584	107	L106	M110	0.0187	77.896	187.2	772.304
P585	108	L106	M110	0.0187	77.896	187.2	772.304
P586	109	L106	M110	0.0000	0.0000	0.0000	0.0000
P587	101	L107	M110	0.0287	119.6688	287.58	1103.3912
