ProductCode	UserType	DatabaseType	Rights	Price	Currency	Status
RDMUSDExcDA	Multiple User	Single Database	"6,31,122,5,3"	100	USD	Active
RDMUSDExcDAGP	Multiple User	Single Database	"6,31,122,5,3,2"	150	USD	Active
RDMUSDExcDAGPEA	Multiple User	Single Database	"6,31,122,5,3,2,70"	200	USD	Active
QBMUSDSql	Multiple User	Single Database	"6,31,122,103"	25	USD	Active
QBMUSDSqlDA	Multiple User	Single Database	"6,31,122,103,3"	75	USD	Active
QBMUSDSqlDAGP	Multiple User	Single Database	"6,31,122,103,3,2"	125	USD	Active
QBMUSDSqlDAGPEA	Multiple User	Single Database	"6,31,122,103,3,2,70"	175	USD	Active
RDMUSDSql	Multiple User	Single Database	"6,31,122,5"	50	USD	Active
RDMUSDSqlDA	Multiple User	Single Database	"6,31,122,5,3"	100	USD	Active
RDMUSDSqlDAGP	Multiple User	Single Database	"6,31,122,5,3,2"	150	USD	Active
RDMUSDSqlDAGPEA	Multiple User	Single Database	"6,31,122,5,3,2,70"	200	USD	Active
QBMUSDMySql	Multiple User	Single Database	"6,31,122,103"	25	USD	Active
QBMUSDMySqlDA	Multiple User	Single Database	"6,31,122,103,3"	75	USD	Active
QBMUSDMySqlDAGP	Multiple User	Single Database	"6,31,122,103,3,2"	125	USD	Active
QBMUSDMySqlDAGPEA	Multiple User	Single Database	"6,31,122,103,3,2,70"	175	USD	Active
RDMUSDMySql	Multiple User	Single Database	"6,31,122,5"	50	USD	Active
RDMUSDMySqlDA	Multiple User	Single Database	"6,31,122,5,3"	100	USD	Active
RDMUSDMySqlDAGP	Multiple User	Single Database	"6,31,122,5,3,2"	150	USD	Active
RDMUSDMySqlDAGPEA	Multiple User	Single Database	"6,31,122,5,3,2,70"	200	USD	Active
QBMUSDOra	Multiple User	Single Database	"6,31,122,103"	25	USD	Active
QBMUSDOraDA	Multiple User	Single Database	"6,31,122,103,3"	75	USD	Active
QBMUSDOraDAGP	Multiple User	Single Database	"6,31,122,103,3,2"	125	USD	Active
QBMUSDOraDAGPEA	Multiple User	Single Database	"6,31,122,103,3,2,70"	175	USD	Active
RDMUSDOra	Multiple User	Single Database	"6,31,122,5"	50	USD	Active
RDMUSDOraDA	Multiple User	Single Database	"6,31,122,5,3"	100	USD	Active
RDMUSDOraDAGP	Multiple User	Single Database	"6,31,122,5,3,2"	150	USD	Active
RDMUSDOraDAGPEA	Multiple User	Single Database	"6,31,122,5,3,2,70"	200	USD	Active
QBMUSDPoGre	Multiple User	Single Database	"6,31,122,103"	25	USD	Active
QBMUSDPoGreDA	Multiple User	Single Database	"6,31,122,103,3"	75	USD	Active
QBMUSDPoGreDAGP	Multiple User	Single Database	"6,31,122,103,3,2"	125	USD	Active
QBMUSDPoGreDAGPEA	Multiple User	Single Database	"6,31,122,103,3,2,70"	175	USD	Active
RDMUSDPoGre	Multiple User	Single Database	"6,31,122,5"	50	USD	Active
RDMUSDPoGreDA	Multiple User	Single Database	"6,31,122,5,3"	100	USD	Active
RDMUSDPoGreDAGP	Multiple User	Single Database	"6,31,122,5,3,2"	150	USD	Active
RDMUSDPoGreDAGPEA	Multiple User	Single Database	"6,31,122,5,3,2,70"	200	USD	Active
