ACC.NO.	AUTHOR	TITLE	ISBN	PUBLISHER	YEAR OF PUB.	PAGES	COST	BILL NO.	Category	SubCategory	Class no	Book no.
29	"Burnet , Franses Hodgson"	A little princess	1-59060-330-3	Baronet books	_	239	150	808-80142	Fiction	Classic	823	BUR-L
30	"swift , Jonathan"	Gulliver travels	0-86611-992-2	Baronet books	_	240	150	808-80142	Fiction	Classic	823	SWI-G
31	"Auston, jane"	Pride and prejudice	0-86611-871-3	Baronet books	_	226	150	808-80142	Fiction	Classic	823	AUS-P
32	"Dumas , Alexender"	The man in Iron Mask	1-590-328-1	Baronet books	_	238	150	808-80142	Fiction	Classic	823	DUM-M
33	"Irving , Washington"	The legend of sleepy hollow	0-86611-996-5	Baronet books	_	236	150	808-80142	Fiction	Classic	823	IRW-L
34	"Dickens , Charles"	David Copperfield	0-86611-974-4	Baronet books	_	238	150	808-80142	Fiction	Classic	823	DIC-D
35	"Kipling,Rudyard"	Captains Courageous	0-86611-980-9	Baronet books	_	238	150	808-80142	Fiction	Classic	823	KIP-C
36	"Spyri,Jabanna"	Heidi	0-86611-963-9	Baronet books	_	236	150	808-80142	Fiction	Classic	823	SPY-H
37	"Wiggin,Kate Dougals"	Rebecca of sunnybrok farmy	0-866611-999-x	Baronet books	_	240	150	808-80142	Fiction	Classic	823	WIG-R
38	" Bligh,William"	The mutiny on Board HMS Bount	0-86611-970-1	Baronet books	_	236	150	808-80142	Fiction	Classic	823	BLI-M
39	"Hawthrown,Nathaniel"	House of seven gables	1-59060-327-3	Baronet books	_	240	150	808-80142	Fiction	Classic	823	HAW-H
40	"Burnet , Franses Hodgson"	The secret garden	0-86611-989-2	Baronet books	_	238	150	808-80142	Fiction	Classic	823	BUR-S
41	"Hugo,Victon"	Hunchback Of Not	0-86611-987-6	Baronet books	_	238	150	808-80142	Fiction	Classic	823	HUG-H
42	"Stevenson,Robert Louis"	The strange case of Dr.Jekyll and Mr.Hyde	0-86611-961-2	Baronet books	_	238	150	808-80142	Fiction	Classic	823	STE-S
43	"Scoh,Sir Volten"	Ivanhoe	0-86611-986-8	Baronet books	_	238	150	808-80142	Fiction	Classic	823	SCO-I
44	"Dumas , Alexender"	The count of Monte Cristo	0-86611-979-5	Baronet books	_	236	150	808-80142	Fiction	Classic	823	DUM-C
45	"Crane,Stephen"	The red badge of courage	0-86611-978-7	Baronet books	_	238	150	808-80142	Fiction	Classic	823	CRA-R
46	"Applegate,K.A"	Animorphs-The Reaction	0-590-99734-3	Scholastic	1997	152	85	_	Fiction	Scientific	823	APP-A
47	"Applegate,K.A"	Animorphs-The Revelation	0-439-11519-1	Scholastic	2000	136	85	_	Fiction	Scientific	823	APP-A
48	"Applegate,K.A"	Animorphs-The Forgotten	0-590-99732-7	Scholastic	1997	162	85	_	Fiction	Scientific	823	APP-A
49	"Applegate,K.A"	Animorphs-The Unknown	0-590-49423-6	Scholastic	1998	166	85	_	Fiction	Scientific	823	APP-A
50	"Applegate,K.A"	Animorphs-The Departure	0-590-49451-1	Scholastic	1998	159	85	_	Fiction	Scientific	823	APP-A
51	"Applegate,K.A"	Animorphs-The Solution	0-590-76255-9	Scholastic	1998	152	85	_	Fiction	Scientific	823	APP-A
52	"Applegate,K.A"	Animorphs-The Illusion	0-439-07033-3	Scholastic	1999	156	85	_	Fiction	Scientific	823	APP-A
53	"Applegate,K.A"	Animorphs-The Pretenders	0-590-76256-7	Scholastic	1998	154	85	_	Fiction	Scientific	823	APP-A
54	"Applegate,K.A"	Animorphs-The Warning	0-590-49430-9	Scholastic	1998	151	85	_	Fiction	Scientific	823	APP-A
55	"Applegate,K.A"	Animorphs-The Decision	0-590-49441-4	Scholastic	1998	168	85	_	Fiction	Scientific	823	APP-A
56	"Applegate,K.A"	Animorphs-The Weakness	0-439-10676-1	Scholastic	2000	129	85	_	Fiction	Scientific	823	APP-A
57	"Applegate,K.A"	Animorphs-The Change	0-590-49418-x	Scholastic	1997	162	85	_	Fiction	Scientific	823	APP-A
58	"Applegate,K.A"	Animorphs-The Message	0-590-62980-8	Scholastic	1996	151	85	_	Fiction	Scientific	823	APP-A
59	"Applegate,K.A"	Animorphs-The Secret	0-590-99729-7	Scholastic	1997	158	85	_	Fiction	Scientific	823	APP-A
60	"Applegate,K.A"	Animorphs-The Mutation	0-439-10675-3	Scholastic	1999	142	85	_	Fiction	Scientific	823	APP-A
61	"Applegate,K.A"	Animorphs-The Underground	0-590-49436-8	Scholastic	1998	167	85	_	Fiction	Mystery	823	APP-A
62	"Adler,David A."	Cam Jansen-The mystery of the monster-movie	0-14-240017-3	Puffin Books	2004	58	85	_	Fiction	Mystery	823	ADL-C
63	"Adler,David A."	Cam Jansen and the scary snake mystery	0-14-130363-8	Puffin Books	1999	58	85	_	Fiction	Mystery	823	ADL-C
64	"Adler,David A."	Cam Jansen-The mystery of the circus clown	0-14-240016-5	Puffin Books	2004	57	85	_	Fiction	Mystery	823	ADL-C
65	"Adler,David A."	Cam Jansen-The mystery of the UFO	0-14-240011-4	Puffin Books	2004	58	85	_	Fiction	Mystery	823	ADL-C
66	"Adler,David A."	Cam Jansen-The mystery of the carnival prize	0-14-240018-1	Puffin Books	2004	57	85	_	Fiction	Mystery	823	ADL-C
67	"Adler,David A."	Cam Jansen-The Barking treasure mystery	0-14-240319-9	Puffin Books	2005	54	85	_	Fiction	Mystery	823	ADL-C
68	"Adler,David A."	Cam Jansen-The Triceratops pops Mystery	0-14-240206-0	Puffin Books	2004	56	85	_	Fiction	Mystery	823	ADL-C
69	"Adler,David A."	Cam Jansen-The mystery of flight 54	0-14-240179-x	Puffin Books	2004	56	85	_	Fiction	Mystery	823	ADL-C
70	"Adler,David A."	Cam Jansen-The mystery of the babe ruth baseball	0-14-240015-7	Puffin Books	2004	57	85	_	Fiction	Mystery	823	ADL-C
71	"Adler,David A."	Cam Jansen & the school play mystery	0-14-230244-9	Puffin Books	2001	54	85	_	Fiction	Mystery	823	ADL-C
72	"Adler,David A."	Cam Jansen-The mystery at the monkey house	0-14-240019-x	Puffin Books	2004	56	85	_	Fiction	Mystery	823	ADL-C
73	"Adler,David A."	Cam Jansen-The mystery of the stolen diamonds	0-14-240010-6	Puffin Books	2004	58	85	_	Fiction	Mystery	823	ADL-C
74	"Adler,David A."	Cam Jansen-The mystery of the television dog	0-14-240013-0	Puffin Books	2004	58	85	_	Fiction	Mystery	823	ADL-C
75	"Adler,David A."	Cam Jansen-The mystery of the stolen corn pepper		Puffin Books	2004	58	85		Fiction	Mystery	823	ADL-C
76	"Adler,David A."	cam Jansen & the ghostly mystery	0-14-038740-4	Puffin Books	1998	58	85	04-18997	Fiction	Mystery	823	ADL-C
77	"Alexander,Lloyd"	The rope trick	0-525-47020-4	Dutton childrens book	2002	195	184	04-18997	Fiction	Adventure	823	ALE-R
78	"Ardagh,Philip"	The Eddie Dickens Trilogy(3 Books)	0-571-2217-x	Puffin Books	2000	431	_	_	Fiction	Humour	823	ARD-E
79	"Alexander,Lloyd"	The Philadelphia adventure	0-14-230144-2	Puffin Books	2002	150	184	04-18997	Fiction	Adventure	823	ALE-P
80	"Alexander,Lloyd"	The Illyrian adventure	0-14-130313-1	Puffin Books	2000	133	184	04-18997	Fiction	Adventure	823	ALE-I
81	"Alexander,Lloyd"	The Town cats and other tales	0-14-130122-8	Puffin Books	1998	126	184	04-18997	Fiction	Adventure	823	ALE-T
82	"Alexander,Lloyd"	The Arka dians	0-14-038073-6	Puffin Books	1997	272	184	04-18997	Fiction	Adventure	823	ALE-A
83	"Alexander,Lloyd"	The Eldorado adventure	0-14-130463-4	Puffin Books	2000	164	184	04-18997	Fiction	Adventure	823	ALE-E
84	"Alexander,Lloyd"	The Drackenberg adventure	0-14-130471-5	Puffin Books	2000	152	184	04-18997	Fiction	Adventure	823	ALE-D
85	"Alexander,Lloyd"	Gypsy Rizka	0-14-130980-6	Puffin Books	1999	195	184	04-18997	Fiction	Adventure	823	ALE-G
86	"Alexander,Lloyd"	The cat who wished to be a man	0-14-130704-8	Puffin Books	2000	107	184	04-18997	Fiction	Adventure	823	ALE-C
87	"Alexander,Lloyd"	The Marvelous miss adventures of sedastian	0-14-130816-8	Puffin Books	2000	204	184	04-18997	Fiction	Adventure	823	ALE-M
88	"Alexander,Lloyd"	The Gawgon and the boy	0-14-250000-3	Puffin Books	2001	199	184	04-18997	Fiction	Adventure	823	ALE-G
89	"Alexander,Lloyd"	The iron ring	0-14-130348-4	Puffin Books	1999	283	184	04-18997	Fiction	Adventure	823	ALE-I
90	"Alexander,Lloyd"	The first two lives of lupas -kasha	0-14-130057-4	Puffin Books	1998	213	184	04-18997	Fiction	Adventure	823	ALE-F
91	"Alexander,Lloyd"	Time cat	0-14-037827-8	Puffin Books	1996	206	184	04-18997	Fiction	Adventure	823	ALE-T
92	"Bartlett, Gaig"	Hey annold ! Parents day	0-689-83818-2	Simon Spot Light	2001	59	175	_	Fiction		823	BAR-H
93	"Brooks, Walter R."	Freddy goes to flordia	0-14-131233-5	Puffin Books	2001	197	95	_	Fiction	Classic	823	BRO-F
94	"Baker,Barbara"	The william Problem	0-14-037099-2	Puffin Books	1997	119	184	_	Fiction		823	BAK-W
95	"Alexander,Lloyd"	The Jedera adventure	0-14-131238-6	Puffin Books	2001	152	_	04-18997	Fiction	Adventure	823	ALE-J
96	"Bawden,Nina"	The Finding Nina Bawden	0-435-12331-9	Heinemann	2006	141	_	_	Fiction		823	BAW-F
97	"Brookner,Anita"	A family romance	0-14-023406-3	Penguin Books	1994	218	_	_	Fiction		823	BRO-F
98	"Breslin,Theresa"	Whisphers in the graveyard	0-435-12470-6	Heinemann	2006	148	_	_	Fiction		823	BRE-W
99	"Brooks, Walter R."	Freddy the detective	0-14-131234-3	Puffin Books	2001	264	_	_	Fiction	Adventure	823	BRO-F
100	"Byarsbe,Betsy"	The midnight fox	0-435-12269-x	Heinemann	2006	122	_	_	Fiction	Adventure	823	BYA-M
101	camus albert	the outsider	0-14-118250-4	Penguin Books	2000	119	327	503041	Fiction	Classic	823	CAM-O
102	"bruchac ,joseph"	the arrow over the door	0-14-130571-1	Puffin Books	2002	89	80	_	Fiction	Historical	823	BRU-A
103	burnett frances hodgson	the secret garden	043512003-4	Heinemann	2006	250	85	_	Fiction	Mystery	823	BUR-S
104	"bach,richard"	jonathan livingston seagull a story	0-380-01286-3	Avon Books	1973	127	260	_	Fiction	Motivational	823	BAC-J
105	blyton enid	happy days 1-don�t be silly mr.twiddle	1-84135-300-0	Award Pub.	2004	112	85	_	Fiction	Children	823	BLY-H
106	blyton enid	H.D-mr.pink-whistle interferes	1-84135-298-5	Award Pub.	2004	112	85	_	Fiction	Children	823	BLY-H
107	blyton enid	H.D -bimbo and topsy	1-84135-224-1	Award Pub.	2004	157	85	_	Fiction	Children	823	BLY-H
108	blyton enid	H.D -bimbo and topsy	1-84135-224-1	Award Pub.	2004	157	85	_	Fiction	Children	823	BLY-H
109	blyton enid	H.D-mr.meddles mischief	1-84135-226-8	Award Pub.	2004	124	85	_	Fiction	Children	823	BLY-H
110	blyton enid	"H.D well,really mr.twiddle"	1-84135-225-x	Award Pub.	2004	112	85	_	Fiction	Children	823	BLY-H
111	blyton enid	H.D- the adventures of binkle and flip	1-84135-300-0	Award Pub.	2004	137	85	_	Fiction	Children	823	BLY-H
112	blyton enid	H.D-run about holidays	1-84135-297-7	Award Pub.	2004	109	85	_	Fiction	Children	823	BLY-H
113	blyton enid	H.D-dont be silly mr. twiddle	1-84135-299-2	Award Pub.	2004	112	85	_	Fiction	Children	823	BLY-H
114	blyton enid	H.D-mr pink -whistles party	1-84135-306-x	Award Pub.	2004	111	85	_	Fiction	Children	823	BLY-H
115	blyton enid	H.D-mr pink -whistles has some fun	1-84135-226-8	Award Pub.	2004	94	85	_	Fiction	Children	823	BLY-H
116	blyton enid	H.D-hello mr.twiddle!	1-84135-220-9	Award Pub.	2004	118	85	_	Fiction	Children	823	BLY-H
117	blyton enid	H.D-the adventures of binkle and flip	1-84135-218-7	Award Pub.	2004	137	85	_	Fiction	Children	823	BLY-H
118	blyton enid	H.D-snowball the pony	1-84135-218-7	Award Pub.	2004	78	85	_	Fiction	Children	823	BLY-H
119	blyton enid	H.D-binkle and flip misbehaves	1-84135-227-6	Award Pub.	2004	96	85	_	Fiction	Children	823	BLY-H
120	blyton enid	H.D-binkle and flip misbehaves	1-84135-223-3	Award Pub.	2004	96	85	_	Fiction	Children	823	BLY-H
121	blyton enid	H.D-shuffle the shoe maker	1-84135-219-5	Award Pub.	2004	158	85	_	Fiction	Children	823	BLY-H
122	blyton enid	H.D-the adventure of mr.pink whistle	1-84135-228-4	Award Pub.	2004	121	85	_	Fiction	Children	823	BLY-H
123	blyton enid	H.D-mr meddles muddles	1-84135-219-5	Award Pub.	2004	121	85	_	Fiction	Children	823	BLY-H
124	blyton enid	H.D-merry mr meddle	1-84135-228-4	Award Pub.	2004	112	85	_	Fiction	Children	823	BLY-H
125	blyton enid	H.D-mr. meddles michchief	0-7475-3217-6	Bloomsberry child	1997	126	85	_	Fiction	Children	823	BLY-H
126	blyton enid	H.D-dont be silly mr. twiddle	0-7475-3858-7	Bloomsberry child	1998	112	85	_	Fiction	Children	823	BLY-H
127	blyton enid	H.D-the adventures of binkle and flip	0-7475-3221-4	Bloomsberry child	1997	137	85	_	Fiction	Children	823	BLY-H
128	blyton enid	H.D-snowball the pony	0-7475-3224-9	Bloomsberry child	1997	78	85	_	Fiction	Children	823	BLY-H
129	blyton enid	H.D-mr. pink whistle has some fun	0-7475-4345-3	Bloomsberry child	1999	94	85	_	Fiction	Children	823	BLY-H
130	blyton enid	H.D-mr. pink whistles party	0-7475-3853-0	Bloomsberry child	1998	112	85	_	Fiction	Children	823	BLY-H
131	blyton enid	H.D-binkle and flip misbehave	0-7475-4350-x	Bloomsberry child	1999	96	85	_	Fiction	Children	823	BLY-H
132	blyton enid	H.D-the adventure of mr.pink whistle	0-7475-3219-2	Bloomsberry child	1997	121	85	_	Fiction	Children	823	BLY-H
133	blyton enid	H.D-mr. pink whistle interferes	0-7475-3859-x	Bloomsberry child	1998	112	85	_	Fiction	Children	823	BLY-H
134	blyton enid	H.D-mr.pink whistle has some fun	1-84135-229-2	Award Pub.	2004	94	85	_	Fiction	Mystery	823	BLY-H
135	blyton enid	The mystery of the missing necklace	1-4052-0397-8	Egmont	2005	218	85	118	Fiction	Mystery	823	BLY-M
136	blyton enid	The mystery of the missing man	1-4052-0405-2	Egmont	2003	230	85	118	Fiction	Mystery	823	BLY-M
137	blyton enid	The mystery of the vanished prince	1-4052-0401-x	Egmont	2005	250	85	118	Fiction	Mystery	823	BLY-M
138	blyton enid	The mystery of the invisible thief	1-4052-0400-1	Egmont	2005	228	85	118	Fiction	Mystery	823	BLY-M
139	blyton enid	The mystery of the strange bundle	1-4052-0402-8	Egmont	2005	246	85	118	Fiction	Mystery	823	BLY-M
140	blyton enid	The mystery of the pantomina cat	1-4052-0399-4	Egmont	2005	234	85	118	Fiction	Mystery	823	BLY-M
141	blyton enid	The mystery of tally-ho cottage	1-4052-0406-0	Egmont	2005	248	85	118	Fiction	Mystery	823	BLY-M
142	blyton enid	The mystery of the strange message	1-4052-0407-9	Egmont	2005	248	85	118	Fiction	Mystery	823	BLY-M
143	blyton enid	the mystery of the Banshee towers	1-4052-0403-6	Egmont	2005	198	85	118	Fiction	Mystery	823	BLY-M
144	blyton enid	The mystery of Holly lane	0-7497-1981-8	Egmont	2005	215	85	118	Fiction	Mystery	823	BLY-M
145	blyton enid	The mystery of the strange message	0-7497-1972-9	Mammoth	1991	186	85	118	Fiction	Mystery	823	BLY-M
146	blyton enid	The mystery of the hidden house	0-7497-1967-2	Mammoth	2004	172	85	118	Fiction	Mystery	823	BLY-M
147	blyton enid	The mystery of the dissapeared ring cat	0-7497-1968-0	Mammoth	2004	165	85	118	Fiction	Mystery	823	BLY-M
148	blyton enid	The mystery of the burnt cottage	0-7497-1970-2	Mammoth	2004	160	85	118	Fiction	Mystery	823	BLY-M
149	blyton enid	The mystery of the spiteful letters	0-7497-1980-x	Mammoth	2004	163	85	118	Fiction	Mystery	823	BLY-M
150	blyton enid	The mystery of the missing man	0-7497-1979-5	Mammoth	2004	182	85	118	Fiction	Mystery	823	BLY-M
151	blyton enid	The mystery of the invisible thief	0-7497-1973-7	Mammoth	2004	170	85	118	Fiction	Mystery	823	BLY-M
152	blyton enid	The mystery of the pantomina cat	0-7479-1973-7	Mammoth	2004	178	85	118	Fiction	Mystery	823	BLY-M
153	blyton enid	The mystery of Banshee towers	0-7497-1982-6	Mammoth	2004	184	85	118	Fiction	Mystery	823	BLY-M
154	blyton enid	The mystery of the vanished prince	0-7497-1983-4	Mammoth	2004	180	85	118	Fiction	Mystery	823	BLY-M
155	blyton enid	The castle of adventure	0-330-30178-0	Mammoth	2004	190	125	_	Fiction	Adventure	823	BLY-C
156	blyton enid	The island of adventure	0-330-30175-6	Macmillal Child	2000	190	125		Fiction	Adventure	823	BLY-I
157	blyton enid	The mountain of adventure	0-330-30177-2	Macmillal Child	2000	187	125		Fiction	Adventure	823	BLY-M
158	blyton enid	The river of adventure	0-330-30176-4	Macmillal Child	2000	159	125		Fiction	Adventure	823	BLY-R
159	blyton enid	The twins at St. Clares	0-7497-1909-5	Mammoth	1999	169	95		Fiction		823	BLY-T
160	blyton enid	Fifth formers of St. Clares	0-7497-1913-3	Mammoth	1997	150	95		Fiction		823	BLY-S
161	blyton enid	The twins at St. Clares	0-7497-1912-5	Mammoth	1999	154	95		Fiction		823	BLY-S
162	blyton enid	Summer term at St. Clares	0-7497-1913-3	Mammoth	1996	150	95		Fiction		823	BLY-C
163	blyton enid	Claudine at St. Clares	0-7497-1914-1	Mammoth	1996	159	95		Fiction		823	BLY-F
164	blyton enid	Fifth formers of St. Clares	0-7497-1909-5	Mammoth	2004	169	95		Fiction		823	BLY-T
165	blyton enid	Second form at Malory towers	0-7497-1911-7	Mammoth	1997	150	95		Fiction		823	BLY-S
166	blyton enid	Third year at Malory towers	0-7497-1913-3	Mammoth	1996	150	95		Fiction		823	BLY-C
167	blyton enid	Upper fourth at malory towers	0-7497-1914-1	Mammoth	2004	159	95		Fiction		823	BLY-F
168	blyton enid	In the fifth at malory towers	0-7497-1925-7	Mammoth	1999	150	95		Fiction		823	BLY-S
169	blyton enid	First term at malory towers	0-7497-1926-5	Mammoth	1999	154	95		Fiction		823	BLY-T
170	blyton enid	Second form at St. Clares	0-7497-1928-1	Mammoth	1999	143	95		Fiction		823	BLY-U
171	blyton enid	In the fifth at malory towers	0-7497-1927-3	Mammoth	1999	144	95		Fiction		823	BLY-I
172	blyton enid	Lost term at malory towers	0-7497-1924-9	Mammoth	2004	153	95		Fiction		823	BLY-F
173	blyton enid	Second form at st. clares	0-7497-1925-7	Mammoth	2004	150	85		Fiction		823	BLY-S
174	blyton enid	In the fifth at malory towers	0-7497-1927-3	Mammoth	2004	144	85		Fiction		823	BLY-I
175	blyton enid	Lost term at malory towers	0-7497-1931-1	Mammoth	2004	148	85		Fiction		823	BLY-L
176	blyton enid	The mystery of the secret room	0-7497-1969-9	Mammoth	1996	148	85	118	Fiction	Mystery	823	BLY-M
177	blyton enid	The osullivan twins	0-7497-1910-9	Mammoth	2004	183	95	_	Fiction		823	BLY-M
178	"alexander,Lloyd"	The wizard in the tree	0-14-038801-x	Puffin Books	1998	138	184	418997	Fiction	Adventure	823	ALE-W
179	"Baum,L..Frank"	the wizard of oz	0-86611-959-0	Baronet books	_	235	150	12	Fiction	Classic	823	BAU-W
180	"Blyton,Enid"	upper fourth at malory towers	0-7497-1928-1	Mammoth	2004	143	85	-	Fiction		823	BLY-U
181	"Blyton,Enid"	back to malory towers	0-7497-1928-1	Mammoth	1999	-	225	-	Fiction		823	BLY-B
182	Blyton.Enid	the enchanted wood	0-7497-3211-3	Mammoth	1997	216	85	-	Fiction		823	BLY-E
183	Blyton.Enid	St.Clares again	0-749719125	Mammoth	1999	-	225	-	Fiction		823	BLY-S
184	"Baldacci,david"	Hour game	0-330-41173-x	Pan books	2004	723	250	-	Fiction		823	BLY-H
185	Blyton enid	The Queen Elizabeths family	0-7497-2912-0	Mammoth	1997	93	75	-	Fiction		823	BLY-Q
186	Blyton enid	The pole star family	0-74970804-2	Mammoth	1997	88	75	-	Fiction		823	BLY-P
187	Blyton enid	The buttercup farm family	0-7497-2916-3	Mammoth	1997	95	75	-	Fiction		823	BLY-B
188	Blyton enid	The buttercup farm family	0-7497-2916-3	Mammoth	1997	95	75	-	Fiction		823	BLY-B
189	Blyton enid	The saucy jane family	0-7497-0805-0	Mammoth	1997	79	75	-	Fiction		823	BLY-S
190	Blyton enid	The saucy jane family	0-7497-0805-0	Mammoth	1997	79	75	-	Fiction		823	BLY-S
191	Blyton enid	The seaside family	0-7497-0806-9	Mammoth	1997	88	75	-	Fiction		823	BLY-S
192	Blyton enid	The caravan family	0-7497-2856-6	Mammoth	1997	93	75	-	Fiction		823	BLY-C
193	Blyton enid	The buttercup farm family	0-7497-2916-3	Mammoth	1997	95	75	-	Fiction		823	BLY-B
194	Blyton enid	The Queen Elizabeths family	0-7497-2912-0	Mammoth	1997	93	75	-	Fiction		823	BLY-Q
195	Blyton enid	The pole star family	0-7497-0804-2	Mammoth	1997	88	75	-	Fiction		823	BLY-P
196	Blyton enid	The caravan family	0-7497-2856-6	Mammoth	1997	93	75	-	Fiction		823	BLY-C
197	Blyton enid	Amelia jane gets into Trouble	0-7497-0757-7	Egmont imagin	2004	131	85	-	Fiction		823	BLY-A
198	Blyton enid	Amelia jane again	0-7497-0761-5	Egmontimagin	1997	184	85	-	Fiction		823	BLY-A
199	Blyton enid	Amelia jane is naughty again	0-7497-4670-x	Egmontimagin	2004	109	85	-	Fiction		823	BLY-A
200	Blyton enid	The wishing chair again	0-7497-0763-1	Mammoth	1998	185	85	-	Fiction		823	BLY-W
201	Blyton enid	"Well done, The naughtiest girl"	0-340-91100-x	Hooder Children	2005	155	85	-	Fiction		823	BLY-W
202	Blyton enid	The naughtiest girl helps a friend	0-340-91094-1	Hooder Children	2005	153	85	-	Fiction		823	BLY-N
203	Blyton enid	The naughtiest girl wants to win	0-340-91095-x	Hooder Children	2005	154	85	-	Fiction		823	BLY-N
204	Blyton enid	The naughiest girl keeps a secret	0-340-91101-8	Hooder Children	2005	152	85	-	Fiction		823	BLY-N
205	Blyton enid	The naughiest girl again	0-340-91099-4	Hooder Children	2005	250	85	-	Fiction		823	BLY-N
206	Blyton enid	The naughiest girl saves the day	0-340-91099-2	Hooder Children	2005	135	85	-	Fiction	Adventure	823	BLY-N
207	Blyton enid	Adventure! Mischief at St. Rollos	0-7475-3212-5	Bloomsberry	1997	110	95	-	Fiction	Adventure	823	BLY-A
208	Blyton enid	Adventure! The secret of the cliff castle.	0-7475-3214-1	Bloomsberry	1997	117	95	-	Fiction	Adventure	823	BLY-A
209	Blyton enid	Adventure! smuggler ben	0-7475-3215-x	Bloomsberry	1997	107	95	-	Fiction	Adventure	823	BLY-A
210	Blyton enid	Adventure! The boy who wanted a dog	0-7475-3213-3	Bloomsberry	1997	91	95	-	Fiction	Adventure	823	BLY-A
211	Blyton enid	House at the corner	0-86163-94	award pub.	2003	271	225	808	Fiction	Adventure	823	BLY-H
212	Blyton enid	Those dreadful children	0-86163-949-9	award pub.	2003	224	225	808	Fiction	Adventure	823	BLY-T
213	Blyton enid	The children at the green meadows	0-86163-947-2	award pub.	2003	240	225	808	Fiction	Adventure	823	BLY-C
214	Blyton enid	The put-em- right	0-86163-945-6-	award pub.	2003	254	225	808	Fiction	Adventure	823	BLY-P
215	Blyton enid	The family at the red roof	0-86163-948	award pub.	2003	256	225	808	Fiction		823	BLY-F
216	Blyton enid	summer term at St. Clares	0-6035-5383-4	dean books	1997	150	125	_	Fiction		823	BLY-S
217	Blyton enid	The second form at st. clares	0-6035-5382-6	dean books	1997	154	125	_	Fiction		823	BLY-S
